2024-06-11 14:03:02,265 - INFO - Starting Supertrend calculation
2024-06-11 14:03:02,299 - INFO - 
Calculated basic upper and lower bands:
                 Ticker        Date      Time      Open      High       Low     Close  Volume  Open Interest            DateTime        hl2      tr     atr  basic_upper_band  basic_lower_band
0    NIFTY BANK.NSE_IDX  02/01/2024  15:21:59  47745.80  47758.00  47739.75  47751.75       0              0 2024-02-01 15:21:59  47748.875     NaN     NaN               NaN               NaN
1    NIFTY BANK.NSE_IDX  02/01/2024  15:22:59  47753.20  47753.20  47730.55  47731.85       0              0 2024-02-01 15:22:59  47741.875   22.65     NaN               NaN               NaN
2    NIFTY BANK.NSE_IDX  02/01/2024  15:23:59  47737.50  47744.85  47721.70  47737.80       0              0 2024-02-01 15:23:59  47733.275   23.15     NaN               NaN               NaN
3    NIFTY BANK.NSE_IDX  02/01/2024  15:24:59  47741.05  47742.00  47716.15  47731.10       0              0 2024-02-01 15:24:59  47729.075   25.85     NaN               NaN               NaN
4    NIFTY BANK.NSE_IDX  02/01/2024  15:25:59  47737.25  47740.15  47710.85  47721.20       0              0 2024-02-01 15:25:59  47725.500   29.30     NaN               NaN               NaN
5    NIFTY BANK.NSE_IDX  02/01/2024  15:26:59  47722.85  47724.30  47707.80  47715.05       0              0 2024-02-01 15:26:59  47716.050   16.50     NaN               NaN               NaN
6    NIFTY BANK.NSE_IDX  02/01/2024  15:27:59  47718.55  47726.70  47701.95  47711.50       0              0 2024-02-01 15:27:59  47714.325   24.75     NaN               NaN               NaN
7    NIFTY BANK.NSE_IDX  02/01/2024  15:28:59  47708.00  47727.65  47705.60  47715.70       0              0 2024-02-01 15:28:59  47716.625   22.05     NaN               NaN               NaN
8    NIFTY BANK.NSE_IDX  02/01/2024  15:29:59  47733.10  47733.10  47697.60  47710.55       0              0 2024-02-01 15:29:59  47715.350   35.50     NaN               NaN               NaN
9    NIFTY BANK.NSE_IDX  02/01/2024  15:30:59  47713.25  47713.25  47713.25  47713.25       0              0 2024-02-01 15:30:59  47713.250    2.70     NaN               NaN               NaN
10   NIFTY BANK.NSE_IDX  03/01/2024  09:15:59  47796.30  47798.75  47522.95  47570.35       0              0 2024-03-01 09:15:59  47660.850  275.80  47.825         47804.325         47517.375
11   NIFTY BANK.NSE_IDX  03/01/2024  09:16:59  47566.55  47592.70  47560.40  47564.75       0              0 2024-03-01 09:16:59  47576.550   32.30  48.790         47722.920         47430.180
12   NIFTY BANK.NSE_IDX  03/01/2024  09:17:59  47568.10  47578.95  47559.55  47563.15       0              0 2024-03-01 09:17:59  47569.250   19.40  48.415         47714.495         47424.005
13   NIFTY BANK.NSE_IDX  03/01/2024  09:18:59  47563.85  47584.90  47559.75  47569.95       0              0 2024-03-01 09:18:59  47572.325   25.15  48.345         47717.360         47427.290
14   NIFTY BANK.NSE_IDX  03/01/2024  09:19:59  47566.65  47579.35  47551.20  47561.75       0              0 2024-03-01 09:19:59  47565.275   28.15  48.230         47709.965         47420.585
15   NIFTY BANK.NSE_IDX  03/01/2024  09:20:59  47562.90  47587.30  47558.70  47567.20       0              0 2024-03-01 09:20:59  47573.000   28.60  49.440         47721.320         47424.680
16   NIFTY BANK.NSE_IDX  03/01/2024  09:21:59  47567.90  47583.25  47545.90  47549.95       0              0 2024-03-01 09:21:59  47564.575   37.35  50.700         47716.675         47412.475
17   NIFTY BANK.NSE_IDX  03/01/2024  09:22:59  47547.45  47547.45  47511.10  47533.80       0              0 2024-03-01 09:22:59  47529.275   38.85  52.380         47686.415         47372.135
18   NIFTY BANK.NSE_IDX  03/01/2024  09:23:59  47531.75  47550.90  47531.15  47538.15       0              0 2024-03-01 09:23:59  47541.025   19.75  50.805         47693.440         47388.610
19   NIFTY BANK.NSE_IDX  03/01/2024  09:24:59  47536.30  47551.65  47532.00  47542.90       0              0 2024-03-01 09:24:59  47541.825   19.65  52.500         47699.325         47384.325
20   NIFTY BANK.NSE_IDX  03/01/2024  09:25:59  47543.75  47566.95  47542.55  47554.70       0              0 2024-03-01 09:25:59  47554.750   24.40  27.360         47636.830         47472.670
21   NIFTY BANK.NSE_IDX  03/01/2024  09:26:59  47551.25  47558.55  47537.30  47558.55       0              0 2024-03-01 09:26:59  47547.925   21.25  26.255         47626.690         47469.160
22   NIFTY BANK.NSE_IDX  03/01/2024  09:27:59  47560.75  47591.25  47556.50  47570.35       0              0 2024-03-01 09:27:59  47573.875   34.75  27.790         47657.245         47490.505
23   NIFTY BANK.NSE_IDX  03/01/2024  09:28:59  47574.55  47575.70  47549.75  47553.75       0              0 2024-03-01 09:28:59  47562.725   25.95  27.870         47646.335         47479.115
24   NIFTY BANK.NSE_IDX  03/01/2024  09:29:59  47546.70  47588.50  47527.70  47584.10       0              0 2024-03-01 09:29:59  47558.100   60.80  31.135         47651.505         47464.695
25   NIFTY BANK.NSE_IDX  03/01/2024  09:30:59  47590.25  47604.35  47561.25  47561.25       0              0 2024-03-01 09:30:59  47582.800   43.10  32.585         47680.555         47485.045
26   NIFTY BANK.NSE_IDX  03/01/2024  09:31:59  47564.00  47574.05  47553.45  47560.65       0              0 2024-03-01 09:31:59  47563.750   20.60  30.910         47656.480         47471.020
27   NIFTY BANK.NSE_IDX  03/01/2024  09:32:59  47558.30  47577.60  47555.60  47566.35       0              0 2024-03-01 09:32:59  47566.600   22.00  29.225         47654.275         47478.925
28   NIFTY BANK.NSE_IDX  03/01/2024  09:33:59  47564.80  47589.45  47564.80  47574.35       0              0 2024-03-01 09:33:59  47577.125   24.65  29.715         47666.270         47487.980
